symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration
NQZ5,-2,0,0.25,334740350013,334740350038,1,25501.00,25513.75,$255.00,11/30/2025 20:15:41,11/30/2025 20:21:56,6min 15sec
NQZ5,-2,0,0.25,334740350052,334740350077,1,25473.75,25473.75,$0.00,11/30/2025 20:32:29,11/30/2025 20:34:02,1min 32sec
NQZ5,-2,0,0.25,334740350068,334740350082,1,25479.50,25473.75,$(115.00),11/30/2025 20:33:49,11/30/2025 20:34:02,13sec
NQZ5,-2,0,0.25,334740350096,334740350133,1,25467.75,25473.25,$110.00,11/30/2025 20:34:20,11/30/2025 20:36:24,2min 3sec
NQZ5,-2,0,0.25,334740350108,334740350138,1,25468.75,25473.25,$90.00,11/30/2025 20:35:36,11/30/2025 20:36:24,47sec
NQZ5,-2,0,0.25,334740350158,334740350171,1,25445.75,25445.75,$0.00,11/30/2025 21:04:39,11/30/2025 21:04:54,15sec
NQZ5,-2,0,0.25,334740350182,334740350191,1,25448.50,25435.75,$(255.00),11/30/2025 21:05:02,11/30/2025 21:05:25,22sec
NQZ5,-2,0,0.25,334740350202,334740350215,1,25416.50,25416.25,$(5.00),11/30/2025 21:08:20,11/30/2025 21:08:52,31sec
NQZ5,-2,0,0.25,334740350226,334740350239,1,25417.75,25417.75,$0.00,11/30/2025 21:08:57,11/30/2025 21:09:53,55sec
NQZ5,-2,0,0.25,334740350253,334740350262,1,25414.75,25402.00,$(255.00),11/30/2025 21:10:41,11/30/2025 21:11:18,37sec
NQZ5,-2,0,0.25,334740350250,334740350262,1,25415.00,25402.00,$(260.00),11/30/2025 21:10:41,11/30/2025 21:11:18,37sec
NQZ5,-2,0,0.25,334740350275,334740350352,1,25409.50,25420.00,$210.00,11/30/2025 21:11:57,11/30/2025 21:15:55,3min 57sec
NQZ5,-2,0,0.25,334740350287,334740350357,1,25410.50,25420.00,$190.00,11/30/2025 21:14:21,11/30/2025 21:15:55,1min 33sec
NQZ5,-2,0,0.25,334740350371,334740350380,1,25394.75,25382.25,$(250.00),11/30/2025 21:22:02,11/30/2025 21:22:27,25sec
NQZ5,-2,0,0.25,334740350391,334740350412,1,25390.50,25377.75,$(255.00),11/30/2025 21:24:06,11/30/2025 21:25:14,1min 7sec
NQZ5,-2,0,0.25,334740350403,334740350417,1,25384.50,25377.75,$(135.00),11/30/2025 21:24:40,11/30/2025 21:25:14,33sec
NQZ5,-2,0,0.25,334740350431,334740350452,1,25377.00,25369.50,$(150.00),11/30/2025 21:26:28,11/30/2025 21:27:12,44sec
NQZ5,-2,0,0.25,334740350463,334740350532,1,25377.25,25383.00,$115.00,11/30/2025 21:27:26,11/30/2025 21:28:51,1min 24sec
NQZ5,-2,0,0.25,334740350475,334740350537,1,25378.75,25383.00,$85.00,11/30/2025 21:27:28,11/30/2025 21:28:51,1min 23sec
NQZ5,-2,0,0.25,334740350567,334740350603,1,25387.75,25381.25,$(130.00),11/30/2025 21:30:42,11/30/2025 21:32:49,2min 7sec
NQZ5,-2,0,0.25,334740350551,334740350603,1,25391.25,25381.25,$(200.00),11/30/2025 21:29:56,11/30/2025 21:32:49,2min 53sec
NQZ5,-2,0,0.25,334740350613,334740350630,1,25386.25,25373.25,$(260.00),11/30/2025 21:35:57,11/30/2025 21:37:55,1min 57sec
