Trade number;Instrument;Account;Strategy;Market pos.;Qty;Entry price;Exit price;Entry time;Exit time;Entry name;Exit name;Profit;Cum. net profit;Commission;Clearing Fee;Exchange Fee;IP Fee;NFA Fee;MAE;MFE;ETD;Bars;
161;MNQ MAR26;APEX3264990000015;;Long;3;25285,00;25309,50;19/12/2025 08:59:44;19/12/2025 09:22:04;;;$ 143,88;$ 2238,12;$ 3,12;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 147,00;$ 148,50;$ 4,62;0;
162;MNQ MAR26;APEX3264990000015;;Long;1;25285,00;25309,50;19/12/2025 08:59:44;19/12/2025 09:22:04;;;$ 47,96;$ 2286,08;$ 1,04;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 49,00;$ 49,50;$ 1,54;0;
163;MNQ MAR26;APEX3264990000015;;Long;2;25284,00;25309,50;19/12/2025 09:00:20;19/12/2025 09:22:04;;;$ 99,92;$ 2386,00;$ 2,08;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 102,00;$ 102,00;$ 2,08;0;
164;MNQ MAR26;APEX3264990000015;;Long;3;25284,00;25309,50;19/12/2025 09:00:20;19/12/2025 09:22:04;;;$ 149,88;$ 2535,88;$ 3,12;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 153,00;$ 153,00;$ 3,12;0;
165;MNQ MAR26;APEX3264990000015;;Long;5;25283,50;25309,50;19/12/2025 09:01:38;19/12/2025 09:22:04;;;$ 254,80;$ 2790,68;$ 5,20;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 260,00;$ 260,00;$ 5,20;0;
166;MNQ MAR26;APEX3264990000015;;Long;3;25309,50;25315,50;19/12/2025 09:42:08;19/12/2025 10:00:25;;;$ 32,88;$ 2823,56;$ 3,12;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 36,00;$ 36,00;$ 3,12;0;
167;MNQ MAR26;APEX3264990000015;;Long;3;25309,50;25315,50;19/12/2025 09:42:08;19/12/2025 10:00:25;;;$ 32,88;$ 2856,44;$ 3,12;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 36,00;$ 36,00;$ 3,12;0;
168;MNQ MAR26;APEX3264990000015;;Long;2;25309,50;25315,50;19/12/2025 09:42:08;19/12/2025 10:00:26;;;$ 21,92;$ 2878,36;$ 2,08;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 24,00;$ 24,00;$ 2,08;0;
169;MNQ MAR26;APEX3264990000015;;Long;2;25309,50;25315,50;19/12/2025 09:42:08;19/12/2025 10:00:26;;;$ 21,92;$ 2900,28;$ 2,08;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 24,00;$ 24,00;$ 2,08;0;
170;MNQ MAR26;APEX3264990000015;;Long;1;25318,75;25315,50;19/12/2025 09:46:12;19/12/2025 10:00:26;;;-$ 7,54;$ 2892,74;$ 1,04;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 7,00;$ 6,50;$ 14,04;0;
171;MNQ MAR26;APEX3264990000015;;Long;1;25318,75;25315,50;19/12/2025 09:46:12;19/12/2025 10:00:26;;;-$ 7,54;$ 2885,20;$ 1,04;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 7,00;$ 6,50;$ 14,04;0;
172;MNQ MAR26;APEX3264990000015;;Long;4;25318,75;25315,25;19/12/2025 09:46:12;19/12/2025 10:00:26;;;-$ 32,16;$ 2853,04;$ 4,16;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 28,00;$ 26,00;$ 58,16;0;
173;MNQ MAR26;APEX3264990000015;;Long;4;25318,75;25315,25;19/12/2025 09:46:12;19/12/2025 10:00:26;;;-$ 32,16;$ 2820,88;$ 4,16;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 28,00;$ 26,00;$ 58,16;0;
174;MNQ MAR26;APEX3264990000015;;Long;1;25376,25;25391,50;19/12/2025 10:30:23;19/12/2025 10:30:52;;;$ 29,46;$ 2850,34;$ 1,04;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 30,00;$ 30,50;$ 1,04;0;
175;MNQ MAR26;APEX3264990000015;;Long;7;25376,25;25391,25;19/12/2025 10:30:23;19/12/2025 10:30:52;;;$ 202,72;$ 3053,06;$ 7,28;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 210,00;$ 213,50;$ 10,78;0;
176;MNQ MAR26;APEX3264990000015;;Long;2;25376,25;25391,50;19/12/2025 10:30:23;19/12/2025 10:30:52;;;$ 58,92;$ 3111,98;$ 2,08;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 60,00;$ 61,00;$ 2,08;0;
177;MNQ MAR26;APEX3264990000015;;Short;10;25434,00;25434,25;19/12/2025 10:37:27;19/12/2025 10:38:29;;;-$ 15,40;$ 3096,58;$ 10,40;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 5,00;$ 5,00;$ 20,40;0;
178;MNQ MAR26;APEX3264990000015;;Short;5;25563,25;25563,50;19/12/2025 10:47:39;19/12/2025 10:59:18;;;-$ 7,70;$ 3088,88;$ 5,20;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 2,50;$ 2,50;$ 10,20;0;
179;MNQ MAR26;APEX3264990000015;;Short;5;25563,25;25563,50;19/12/2025 10:47:39;19/12/2025 10:59:18;;;-$ 7,70;$ 3081,18;$ 5,20;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 2,50;$ 2,50;$ 10,20;0;
180;MNQ MAR26;APEX3264990000015;;Short;5;25569,50;25563,50;19/12/2025 10:48:04;19/12/2025 10:59:18;;;$ 54,80;$ 3135,98;$ 5,20;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 60,00;$ 60,00;$ 5,20;0;
181;MNQ MAR26;APEX3264990000015;;Short;2;25550,25;25534,50;19/12/2025 11:08:25;19/12/2025 11:19:24;;;$ 60,92;$ 3196,90;$ 2,08;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 63,00;$ 63,00;$ 2,08;0;
182;MNQ MAR26;APEX3264990000015;;Short;2;25550,25;25534,50;19/12/2025 11:08:25;19/12/2025 11:19:24;;;$ 60,92;$ 3257,82;$ 2,08;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 63,00;$ 63,00;$ 2,08;0;
183;MNQ MAR26;APEX3264990000015;;Short;1;25550,25;25534,50;19/12/2025 11:08:25;19/12/2025 11:19:24;;;$ 30,46;$ 3288,28;$ 1,04;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 31,50;$ 31,50;$ 1,04;0;
184;MNQ MAR26;APEX3264990000015;;Short;1;25551,50;25534,50;19/12/2025 11:08:34;19/12/2025 11:19:24;;;$ 32,96;$ 3321,24;$ 1,04;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 33,50;$ 34,00;$ 1,04;0;
185;MNQ MAR26;APEX3264990000015;;Short;3;25551,50;25534,75;19/12/2025 11:08:34;19/12/2025 11:19:24;;;$ 97,38;$ 3418,62;$ 3,12;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 100,50;$ 102,00;$ 4,62;0;
186;MNQ MAR26;APEX3264990000015;;Short;1;25551,50;25534,75;19/12/2025 11:08:34;19/12/2025 11:19:24;;;$ 32,46;$ 3451,08;$ 1,04;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 33,50;$ 34,00;$ 1,54;0;
187;MNQ MAR26;APEX3264990000015;;Short;2;25557,75;25534,75;19/12/2025 11:08:44;19/12/2025 11:19:24;;;$ 89,92;$ 3541,00;$ 2,08;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 92,00;$ 92,00;$ 2,08;0;
188;MNQ MAR26;APEX3264990000015;;Short;3;25557,75;25534,75;19/12/2025 11:08:44;19/12/2025 11:19:24;;;$ 134,88;$ 3675,88;$ 3,12;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 138,00;$ 138,00;$ 3,12;0;
189;MNQ MAR26;APEX3264990000015;;Long;1;25490,50;25539,75;19/12/2025 11:30:27;19/12/2025 11:35:52;;;$ 97,46;$ 3773,34;$ 1,04;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 96,00;$ 98,50;$ 1,04;0;
190;MNQ MAR26;APEX3264990000015;;Long;1;25490,50;25539,75;19/12/2025 11:30:27;19/12/2025 11:35:52;;;$ 97,46;$ 3870,80;$ 1,04;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 96,00;$ 98,50;$ 1,04;0;
191;MNQ MAR26;APEX3264990000015;;Long;1;25490,50;25539,75;19/12/2025 11:30:27;19/12/2025 11:35:52;;;$ 97,46;$ 3968,26;$ 1,04;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 96,00;$ 98,50;$ 1,04;0;
192;MNQ MAR26;APEX3264990000015;;Long;2;25490,50;25538,50;19/12/2025 11:30:27;19/12/2025 11:35:52;;;$ 189,92;$ 4158,18;$ 2,08;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 192,00;$ 197,00;$ 7,08;0;
193;MNQ MAR26;APEX3264990000015;;Long;2;25487,50;25538,50;19/12/2025 11:30:44;19/12/2025 11:35:52;;;$ 201,92;$ 4360,10;$ 2,08;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 204,00;$ 204,00;$ 2,08;0;
194;MNQ MAR26;APEX3264990000015;;Long;3;25487,50;25538,50;19/12/2025 11:30:44;19/12/2025 11:35:52;;;$ 302,88;$ 4662,98;$ 3,12;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 306,00;$ 306,00;$ 3,12;0;
195;MNQ MAR26;APEX3264990000015;;Long;1;25484,00;25538,50;19/12/2025 11:31:01;19/12/2025 11:35:52;;;$ 107,96;$ 4770,94;$ 1,04;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 109,00;$ 109,00;$ 1,04;0;
196;MNQ MAR26;APEX3264990000015;;Long;4;25484,00;25538,50;19/12/2025 11:31:01;19/12/2025 11:35:52;;;$ 431,84;$ 5202,78;$ 4,16;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 436,00;$ 436,00;$ 4,16;0;
