Instrument;Action;Quantity;Price;Time;ID;E/X;Position;Order ID;Name;Commission;Rate;Account;Connection;
MNQ DEC25;Sell;1;25326,75;12/12/2025 11:55:00;334740358161;Exit;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Buy;1;25355,00;12/12/2025 11:53:18;334740358135;Entry;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Sell;1;25326,75;12/12/2025 11:55:00;334740358156;Exit;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Buy;1;25253,50;12/12/2025 12:01:29;334740358183;Entry;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Sell;1;25208,25;12/12/2025 12:03:57;334740358249;Exit;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Buy;1;25240,50;12/12/2025 12:02:13;334740358203;Entry;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Sell;1;25208,25;12/12/2025 12:03:57;334740358244;Exit;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Buy;1;25204,25;12/12/2025 12:09:44;334740358263;Entry;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Sell;1;25160,00;12/12/2025 12:11:35;334740358284;Exit;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
MES DEC25;Buy;1;6822,50;12/12/2025 12:12:15;334740358295;Entry;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
MES DEC25;Buy;4;6821,00;12/12/2025 12:12:24;334740358311;Entry;-;;;$ 2,08;1;APEX3264990000015;My NinjaTrader;
MES DEC25;Buy;3;6826,50;12/12/2025 12:17:03;334740358339;Entry;-;;;$ 1,56;1;APEX3264990000015;My NinjaTrader;
MES DEC25;Sell;8;6820,50;12/12/2025 12:18:55;334740358382;Exit;-;;;$ 4,16;1;APEX3264990000015;My NinjaTrader;
MES DEC25;Buy;3;6825,00;12/12/2025 12:20:02;334740358397;Entry;-;;;$ 1,56;1;APEX3264990000015;My NinjaTrader;
MES DEC25;Sell;3;6812,50;12/12/2025 12:21:26;334740358406;Exit;-;;;$ 1,56;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Buy;2;25152,25;12/12/2025 12:22:33;334740358417;Entry;-;;;$ 1,04;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Sell;2;25160,75;12/12/2025 12:34:14;334740358541;Exit;-;;;$ 1,04;1;APEX3264990000015;My NinjaTrader;
MES DEC25;Buy;2;6815,25;12/12/2025 12:22:36;334740358429;Entry;-;;;$ 1,04;1;APEX3264990000015;My NinjaTrader;
MES DEC25;Sell;1;6815,75;12/12/2025 12:25:28;334740358471;Exit;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
MES DEC25;Buy;1;6823,00;12/12/2025 12:30:40;334740358501;Entry;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
MES DEC25;Sell;2;6813,25;12/12/2025 12:34:33;334740358562;Exit;-;;;$ 1,04;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Buy;1;25171,00;12/12/2025 12:33:08;334740358519;Entry;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Sell;1;25160,75;12/12/2025 12:34:14;334740358536;Exit;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Buy;2;25173,25;12/12/2025 12:34:58;334740358587;Entry;-;;;$ 1,04;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Sell;2;25154,50;12/12/2025 12:36:30;334740358632;Exit;-;;;$ 1,04;1;APEX3264990000015;My NinjaTrader;
MES DEC25;Buy;1;6815,75;12/12/2025 12:35:52;334740358615;Entry;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
MES DEC25;Sell;1;6812,50;12/12/2025 12:37:34;334740358640;Exit;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Buy;1;25165,25;12/12/2025 12:42:30;334740358651;Entry;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Sell;1;25272,25;12/12/2025 13:24:17;334740358905;Exit;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Buy;1;25153,00;12/12/2025 12:42:42;334740358675;Entry;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Sell;1;25272,25;12/12/2025 13:24:17;334740358900;Exit;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Buy;1;25155,25;12/12/2025 12:42:47;334740358687;Entry;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Sell;1;25272,25;12/12/2025 13:24:17;334740358895;Exit;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Buy;1;25149,75;12/12/2025 12:50:07;334740358699;Entry;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Buy;1;25237,75;12/12/2025 13:10:05;334740358775;Entry;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Sell;1;25272,25;12/12/2025 13:24:17;334740358890;Exit;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Sell;1;25288,00;12/12/2025 13:19:28;334740358847;Exit;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
